,Unnamed: 0,release,Title,genre,Language,Cast,Ratings,release_year
7983,7983,04-08-2008,Day of the Dead,"Horror, Thriller, Action",English,"['Mena Suvari', 'Stark Sands', 'Michael Welch', 'AnnaLynne McCord', 'Nick Cannon', 'Matt Rippy', 'Pat Kilbane', 'Taylor Hoover', 'Christa Campbell']",5.2,2008
7984,7984,04-08-2008,Day of the Dead,"Horror, Thriller, Action",English,"['Mena Suvari', 'Stark Sands', 'Michael Welch', 'AnnaLynne McCord', 'Nick Cannon', 'Matt Rippy', 'Pat Kilbane', 'Taylor Hoover', 'Christa Campbell']",5.2,2008
7985,7985,07/17/1981 ,Arthur,"Comedy, Drama, Romance",English,"['Dudley Moore', 'Liza Minnelli', 'John Gielgud', 'Geraldine Fitzgerald', 'Jill Eikenberry', 'Stephen Elliott', 'Ted Ross', 'Barney Martin', 'Thomas Barbour']",6.5,1981
7986,7986,02/27/2006 ,The Land Before Time XII: The Great Day of the Flyers,"Animation, Family, Adventure",English,"['John Ingle', 'Nick Price', 'Frank Welker', 'Aria Noelle Curzon', 'Rob Paulsen', 'Camryn Manheim', 'Anndi McAfee', 'Kenneth Mars', 'Miriam Flynn']",6.3,2006
7987,7987,04-10-1997,Beverly Hills Ninja,"Comedy, Action",English,"['Chris Farley', 'Nicollette Sheridan', 'Robin Shou', 'Nathaniel Parker', 'Chris Rock', 'Soon-Tek Oh', 'Keith Cooke', 'François Chau', 'Dale Ishimoto']",5.7,1997
7988,7988,07/19/1972 ,Joe Kidd,Western,English,"['Clint Eastwood', 'Robert Duvall', 'John Saxon', 'Don Stroud', 'Stella Garcia', 'James Wainwright', 'Paul Koslo', 'Gregory Walcott', 'Dick Van Patten']",6.5,1972
7989,7989,02/14/1985 ,Crimes of Passion,"Crime, Drama, Thriller",English,"['Kathleen Turner', 'Anthony Perkins', 'Bruce Davison', 'Annie Potts', 'John Laughlin', 'John G. Scanlon', 'Stephen Lee', 'Pat MacNamara', 'Christina Lange']",6.5,1985
7990,7990,03/26/1992 ,My Own Private Idaho,Drama,English,"['River Phoenix', 'Keanu Reeves', 'James Russo', 'William Richert', 'Rodney Harvey', 'Chiara Caselli', 'Michael Parker', 'Jessie Thomas', 'Flea']",7.1,1992
7991,7991,05-03-1996,Barb Wire,"Sci-Fi, Action",English,"['Pamela Anderson', 'Temuera Morrison', 'Victoria Rowell', 'Jack Noseworthy', 'Udo Kier', 'Steve Railsback', 'Xander Berkeley', 'John Paxton', 'Joey Sagal']",4.0,1996
7992,7992,06-02-1995,Fluke,"Drama, Adventure, Family",English,"['Matthew Modine', 'Nancy Travis', 'Eric Stoltz', 'Max Pomeranc', 'Ron Perlman', 'Jon Polito', 'Bill Cobbs', 'Federico Pacifici', 'Clarinda Ross']",7.2,1995
7993,7993,08-04-2015,Batman Unlimited: Monster Mayhem,"Action, Animation, Family",English,"['Roger Craig Smith', 'Troy Baker', 'Chris Diamantopoulos', 'Kari Wuhrer', 'Noel Fisher', 'Khary Payton', 'Will Friedle', 'Yuri Lowenthal', 'Fred Tatasciore']",6.4,2015
7994,7994,02-02-2017,Gold,"Adventure, Drama, Thriller",English,"['Matthew McConaughey', 'Bryce Dallas Howard', 'Edgar Ramírez', 'Timothy Simons', 'Michael Landes', 'Stacy Keach', 'Rachael Taylor', 'Bruce Greenwood', 'Craig T. Nelson']",6.6,2017
7995,7995,11-04-2016,Bleed for This,Drama,English,"['Miles Teller', 'Aaron Eckhart', 'Katey Sagal', 'Ciarán Hinds', 'Ted Levine', 'Christine Evangelista', 'Amanda Clayton', 'Daniel Sauli', 'Tina Casciani']",6.8,2016
7996,7996,11-05-2021,Love Hard,"Comedy, Romance",English,"['Nina Dobrev', 'Jimmy O. Yang', 'Darren Barnet', 'James Saito', 'Rebecca Staab', 'Harry Shum Jr.', 'Althea Kaye', 'Mikaela Hoover', 'Matty Finochio']",7.0,2021
7997,7997,05-10-1995,A Little Princess,"Drama, Family, Fantasy",English,"['Liesel Matthews', 'Eleanor Bron', 'Liam Cunningham', 'Rusty Schwimmer', 'Vanessa Lee Chester', 'Rachael Bella', 'Camilla Belle', 'Kelsey Mulrooney', 'Lauren Blumenfeld']",7.6,1995
7998,7998,07-04-2014,The Anomaly,"Thriller, Action, Sci-Fi",English,"['Alexis Knapp', 'Victoria Broom', 'Brian Cox', 'Ian Somerhalder', 'Noel Clarke', 'Luke Hemsworth', 'Michael Bisping', 'Art Parkinson', 'Ali Cook']",4.9,2014
7999,7999,04-07-2009,Scooby-Doo! and the Samurai Sword,"Family, Mystery, Animation, Comedy, Action, Fantasy",English,"['Casey Kasem', 'Kelly Hu', 'Brian Cox', 'Grey DeLisle', 'Frank Welker', 'Mindy Cohn', 'Kevin Michael Richardson', 'Sab Shimono', 'Keone Young']",7.9,2009
8000,8000,04/15/2021 ,The Monkey King: Reborn,"Animation, Action, Fantasy",Chinese,"['边江', 'Haiting Cai', 'Shangqing Su', 'Zhang Lei', 'He Zhang', 'Lin Qiang', 'Sicen Liu', 'Chenguang Wang', 'Zhongyang Baomu']",7.1,2021
8001,8001,10/28/2017 ,An Ordinary Man,"Action, Drama, War",English,"['Ben Kingsley', 'Hera Hilmar', 'Peter Serafinowicz', 'Edmund Kingsley', 'Robert Blythe', 'Milorad Kapor', 'Igor Kovačević', 'Marija Opsenica', 'Bojan Hlišč']",6.4,2017
8002,8002,09/30/1994 ,The River Wild,"Adventure, Action, Crime, Thriller",English,"['Meryl Streep', 'David Strathairn', 'Kevin Bacon', 'Benjamin Bratt', 'John C. Reilly', 'Joseph Mazzello', 'Stephanie Sawyer', 'William Lucking', 'Elizabeth Hoffman']",6.4,1994
8003,8003,10/23/2021 ,Vortex,Drama,French,"['Dario Argento', 'Françoise Lebrun', 'Alex Lutz', 'Kamel Benchemekh', 'Corinne Bruand', 'Nathalie Roubaud', 'Kylian Dheret', 'Philippe Rouyer', 'Jean-Pierre Bouyxou']",7.2,2021
8004,8004,11-10-2010,Wild Target,"Action, Comedy",English,"['Bill Nighy', 'Emily Blunt', 'Rupert Grint', 'Rupert Everett', 'Eileen Atkins', 'Martin Freeman', 'Geoff Bell', 'Rory Kinnear', 'Graham Seed']",6.4,2010
8005,8005,01/23/2005 ,After the Sunset,"Action, Comedy, Crime, Drama",English,"['Pierce Brosnan', 'Salma Hayek', 'Woody Harrelson', 'Don Cheadle', 'Naomie Harris', 'Troy Garity', 'Russell Hornsby', 'Rex Linn', 'Michael Bowen']",6.1,2005
8006,8006,09/21/2018 ,Life Itself,"Drama, Romance",English,"['Oscar Isaac', 'Olivia Wilde', 'Annette Bening', 'Antonio Banderas', 'Mandy Patinkin', 'Jean Smart', 'Olivia Cooke', 'Sergio Peris-Mencheta', 'Laia Costa']",7.3,2018
